el_state_1,el_state_2,polinom,coeff
1,2,q1*q1*q1*q6-,0.00668429682
1,2,q1*q1*q1*q5-,0.01327465734
1,2,q1*q1*q1*q4-,-0.1565911948
1,2,q1*q1*q6+*q6+,0.00528347008
1,2,q1*q1*q6+*q5+,-0.1217716364
1,2,q1*q1*q6+*q4+,0.0774608374
1,2,q1*q1*q5+*q5+,-0.0548305368
1,2,q1*q1*q5+*q4+,0.0805079962
1,2,q1*q1*q4+*q4+,0.1158417846
1,2,q1*q6+*q6-*q6-,0.1050908186
1,2,q1*q6+*q6-*q5-,0.00999825582
1,2,q1*q6+*q6-*q4-,-0.00958354534
1,2,q1*q6+*q5-*q5-,-0.0917137176
1,2,q1*q6+*q5-*q4-,-0.00951388774
1,2,q1*q6+*q4-*q4-,-0.01690590052
1,2,q1*q6-*q6-*q5+,-0.01580414072
1,2,q1*q6-*q6-*q4+,-0.1466526522
1,2,q1*q6-*q5+*q5-,0.037470075
1,2,q1*q6-*q5+*q4-,0.0123603746
1,2,q1*q6-*q5-*q4+,0.0386128506
1,2,q1*q6-*q4+*q4-,-0.00698055988
1,2,q1*q5+*q5-*q5-,0.0326646368
1,2,q1*q5+*q5-*q4-,-0.0857410592
1,2,q1*q5+*q4-*q4-,-0.01013253716
1,2,q1*q5-*q5-*q4+,-0.0279177896
1,2,q1*q5-*q4+*q4-,-0.0472582992
1,2,q1*q4+*q4-*q4-,-0.0730145924
1,2,q6+*q6+*q6+*q6-,-0.0523824204
1,2,q6+*q6+*q6+*q5-,-0.268898122
1,2,q6+*q6+*q6+*q4-,-0.366838272
1,2,q6+*q6+*q6-*q5+,0.0752540478
1,2,q6+*q6+*q6-*q4+,-0.0133316515
1,2,q6+*q6+*q5+*q5-,0.01739987908
1,2,q6+*q6+*q5+*q4-,0.1224811494
1,2,q6+*q6+*q5-*q4+,-0.083663308
1,2,q6+*q6+*q4+*q4-,-0.0201305442
1,2,q6+*q6-*q5+*q5+,-0.0289730522
1,2,q6+*q6-*q5+*q4+,-0.0397911694
1,2,q6+*q6-*q4+*q4+,0.0486708032
1,2,q6+*q5+*q5-*q5-,0.0327950846
1,2,q6+*q5+*q5-*q4-,0.0382365292
1,2,q6+*q5+*q5-*q4+,-0.0261895434
1,2,q6+*q5+*q4+*q4-,-0.0318041986
1,2,q6+*q5-*q4+*q4+,-0.0220082882
1,2,q6+*q4+*q4+*q4-,0.040426006
1,2,q6-*q6-*q6-*q6-,-0.0483548856
1,2,q6-*q6-*q6-*q5-,-0.0811894438
1,2,q6-*q6-*q6-*q4-,-0.056933643
1,2,q6-*q6-*q5-*q5-,-0.29329615
1,2,q6-*q6-*q5-*q4-,0.1010016308
1,2,q6-*q6-*q4-*q4-,-0.00780454566
1,2,q6-*q5+*q5+*q5+,-0.1124420786
1,2,q6-*q5+*q5+*q4+,-0.0289110936
1,2,q6-*q5+*q4+*q4+,-0.0547155506
1,2,q6-*q5-*q5-*q5-,0.0564809702
1,2,q6-*q5-*q5-*q4-,0.050755454
1,2,q6-*q5-*q4-*q4-,-0.0457734
1,2,q6-*q4+*q4+*q4+,-0.0883033772
1,2,q6-*q4-*q4-*q4-,0.0553358986
1,2,q5+*q5+*q5+*q5-,-0.0551721682
1,2,q5+*q5+*q5+*q4-,0.0855968128
1,2,q5+*q5+*q5-*q4+,-0.01545292676
1,2,q5+*q5+*q4+*q4-,-0.0082599275
1,2,q5+*q5-*q4+*q4+,0.0110480065
1,2,q5+*q4+*q4+*q4-,0.0399306022
1,2,q5-*q5-*q5-*q5-,-0.39047784
1,2,q5-*q5-*q5-*q4-,0.1229613844
1,2,q5-*q5-*q4-*q4-,-0.046787295
1,2,q5-*q4+*q4+*q4+,-0.001564436384
1,2,q5-*q4-*q4-*q4-,0.0785467082
1,2,q4+*q4+*q4+*q4-,0.1082224746
1,2,q4-*q4-*q4-*q4-,-0.00316609208
